Store_ID,Store_Name,Region,Format,Area_sqm,Headcount_Plan,Open_Date
S001,Vincom Central,South,Hypermarket,4200,68,2019-04-15
S002,District 7 Hub,South,Supermarket,2600,44,2020-09-10
S003,Thu Duc Family,South,Supermarket,2400,40,2021-02-20
S004,Ha Noi Prime,North,Hypermarket,4500,72,2018-11-01
S005,Cau Giay Fresh,North,Supermarket,2300,38,2021-06-18
S006,Hai Phong Gateway,North,Supermarket,2500,41,2022-01-12
S007,Da Nang Beachside,Central,Supermarket,2550,42,2020-03-25
S008,Hue Riverside,Central,Convenience Plus,1350,24,2022-08-09
S009,Can Tho Market,South,Convenience Plus,1450,26,2023-05-20
S010,Bien Hoa Value,South,Supermarket,2200,36,2021-09-30
